t,NO2
2021-01-01,3.4454686e-05
2021-01-01,3.4454686e-05
2021-01-01,3.4454686e-05
2021-01-01,3.4454686e-05
2021-01-02,3.4454686e-05
2021-01-02,3.4454686e-05
2021-01-02,3.4454686e-05
2021-01-02,3.4454686e-05
2021-01-03,3.4454686e-05
2021-01-03,3.4454686e-05
2021-01-03,3.4454686e-05
2021-01-03,3.4454686e-05
2021-01-04,3.4454686e-05
2021-01-04,3.4454686e-05
2021-01-04,3.4454686e-05
2021-01-04,3.4454686e-05
2021-01-05,3.4454686e-05
2021-01-05,3.4454686e-05
2021-01-05,3.4454686e-05
2021-01-05,3.4454686e-05
2021-01-06,3.4454686e-05
2021-01-06,3.4454686e-05
2021-01-06,3.4454686e-05
2021-01-06,3.4454686e-05
2021-01-07,3.4454686e-05
2021-01-07,3.4454686e-05
2021-01-07,4.2719703000000005e-05
2021-01-07,5.098472e-05
2021-01-08,4.47169485e-05
2021-01-08,3.8449177e-05
2021-01-08,3.21814055e-05
2021-01-08,2.5913634000000002e-05
2021-01-09,1.9645862500000002e-05
2021-01-09,1.3378091e-05
2021-01-09,1.3378091e-05
2021-01-09,1.3378091e-05
2021-01-10,1.3400975480000001e-05
2021-01-10,1.342385996e-05
2021-01-10,1.344674444e-05
2021-01-10,1.346962892e-05
2021-01-11,1.34925134e-05
2021-01-11,1.351539788e-05
2021-01-11,1.353828236e-05
2021-01-11,1.356116684e-05
2021-01-12,1.358405132e-05
2021-01-12,1.36069358e-05
2021-01-12,1.362982028e-05
2021-01-12,1.365270476e-05
2021-01-13,1.367558924e-05
2021-01-13,1.369847372e-05
2021-01-13,1.37213582e-05
2021-01-13,1.374424268e-05
2021-01-14,1.376712716e-05
2021-01-14,1.3790011639999999e-05
2021-01-14,1.381289612e-05
2021-01-14,1.38357806e-05
2021-01-15,1.385866508e-05
2021-01-15,1.388154956e-05
2021-01-15,1.390443404e-05
2021-01-15,1.392731852e-05
2021-01-16,1.3950202999999999e-05
2021-01-16,1.397308748e-05
2021-01-16,1.399597196e-05
2021-01-16,1.401885644e-05
2021-01-17,1.404174092e-05
2021-01-17,1.4064625399999999e-05
2021-01-17,1.408750988e-05
2021-01-17,1.411039436e-05
2021-01-18,1.413327884e-05
2021-01-18,1.415616332e-05
2021-01-18,1.4179047799999999e-05
2021-01-18,1.420193228e-05
2021-01-19,1.4224816759999999e-05
2021-01-19,1.424770124e-05
2021-01-19,1.427058572e-05
2021-01-19,1.4293470199999999e-05
2021-01-20,1.431635468e-05
2021-01-20,1.4339239159999999e-05
2021-01-20,1.436212364e-05
2021-01-20,1.4385008119999998e-05
2021-01-21,1.4407892599999999e-05
2021-01-21,1.443077708e-05
2021-01-21,1.4453661559999999e-05
2021-01-21,1.447654604e-05
2021-01-22,1.4499430519999999e-05
2021-01-22,1.4522315e-05
2021-01-22,1.32738955e-05
2021-01-22,1.2025476e-05
2021-01-23,1.2597549384615384e-05
2021-01-23,1.3169622769230769e-05
2021-01-23,1.3741696153846154e-05
2021-01-23,1.4313769538461538e-05
2021-01-24,1.4885842923076923e-05
2021-01-24,1.5457916307692308e-05
2021-01-24,1.6029989692307692e-05
2021-01-24,1.6602063076923077e-05
2021-01-25,1.7174136461538462e-05
2021-01-25,1.7746209846153847e-05
2021-01-25,1.831828323076923e-05
2021-01-25,1.8890356615384616e-05
2021-01-26,1.946243e-05
2021-01-26,1.1686728e-05
2021-01-26,3.3600376e-05
2021-01-26,2.4801948e-05
2021-01-27,2.436891982352941e-05
2021-01-27,2.3935891647058824e-05
2021-01-27,2.3502863470588233e-05
2021-01-27,2.3069835294117645e-05
2021-01-28,2.2636807117647058e-05
2021-01-28,2.220377894117647e-05
2021-01-28,2.177075076470588e-05
2021-01-28,2.1337722588235292e-05
2021-01-29,2.0904694411764705e-05
2021-01-29,2.0471666235294117e-05
2021-01-29,2.003863805882353e-05
2021-01-29,1.960560988235294e-05
2021-01-31,1.9172581705882352e-05
2021-01-31,1.8739553529411764e-05
2021-01-31,1.8306525352941173e-05
2021-01-31,1.7873497176470586e-05
2021-02-01,1.7440469e-05
2021-02-01,2.5954707e-05
2021-02-01,2.3269306e-05
2021-02-01,2.5954707e-05
2021-02-02,1.2123207e-05
2021-02-02,1.2462402e-05
2021-02-02,1.2801597e-05
2021-02-02,1.3140792e-05
2021-02-03,1.3479987e-05
2021-02-03,1.3819182e-05
2021-02-03,4.1115305e-05
2021-02-03,4.1115305e-05
2021-02-04,3.925251646153846e-05
2021-02-04,3.738972792307693e-05
2021-02-04,3.552693938461539e-05
2021-02-04,3.366415084615385e-05
2021-02-05,3.1801362307692314e-05
2021-02-05,2.9938573769230773e-05
2021-02-05,2.8075785230769233e-05
2021-02-05,2.6212996692307692e-05
2021-02-06,2.4350208153846155e-05
2021-02-06,2.2487419615384618e-05
2021-02-06,2.0624631076923077e-05
2021-02-06,1.876184253846154e-05
2021-02-07,1.6899054e-05
2021-02-07,1.6899054e-05
2021-02-07,1.6899054e-05
2021-02-07,1.7141076466666665e-05
2021-02-08,1.7383098933333334e-05
2021-02-08,1.76251214e-05
2021-02-08,1.7867143866666668e-05
2021-02-08,1.8109166333333333e-05
2021-02-09,1.8351188799999998e-05
2021-02-09,1.8593211266666667e-05
2021-02-09,1.8835233733333332e-05
2021-02-09,1.90772562e-05
2021-02-10,1.9319278666666666e-05
2021-02-10,1.9561301133333335e-05
2021-02-10,1.98033236e-05
2021-02-10,2.0045346066666665e-05
2021-02-11,2.0287368533333334e-05
2021-02-11,2.0529391e-05
2021-02-11,2.0771413466666668e-05
2021-02-11,2.1013435933333333e-05
2021-02-12,2.1255458399999998e-05
2021-02-12,2.1497480866666667e-05
2021-02-12,2.1739503333333332e-05
2021-02-12,2.19815258e-05
2021-02-13,2.2223548266666666e-05
2021-02-13,2.246557073333333e-05
2021-02-13,2.27075932e-05
2021-02-13,2.2949615666666665e-05
2021-02-14,2.3191638133333334e-05
2021-02-14,2.34336606e-05
2021-02-14,2.3675683066666664e-05
2021-02-14,2.3917705533333333e-05
2021-02-15,2.4159728e-05
2021-02-15,2.2993754e-05
2021-02-15,2.0521135666666668e-05
2021-02-15,1.8048517333333335e-05
2021-02-16,1.5575899e-05
2021-02-16,1.7341259e-05
2021-02-16,1.5575899e-05
2021-02-16,1.7341259e-05
2021-02-17,1.537355366666667e-05
2021-02-17,1.3405848333333334e-05
2021-02-17,1.1438143e-05
2021-02-17,1.78456235e-05
2021-02-18,2.4253104000000004e-05
2021-02-18,3.0660584500000003e-05
2021-02-18,3.7068065e-05
2021-02-18,4.4566743e-05
2021-02-19,3.3207374e-05
2021-02-19,2.1848005e-05
2021-02-19,2.3364333857142858e-05
2021-02-19,2.4880662714285713e-05
2021-02-20,2.6396991571428572e-05
2021-02-20,2.7913320428571428e-05
2021-02-20,2.9429649285714287e-05
2021-02-20,3.0945978142857146e-05
2021-02-21,3.2462307e-05
2021-02-21,2.01781e-05
2021-02-21,2.3527402e-07
2021-02-21,5.655073510000001e-06
2021-02-22,1.1074873e-05
2021-02-22,2.9008666e-05
2021-02-22,6.6127554e-06
2021-02-22,2.3690976e-05
2021-02-23,2.4393661153846154e-05
2021-02-23,2.5096346307692306e-05
2021-02-23,2.579903146153846e-05
2021-02-23,2.6501716615384616e-05
2021-02-24,2.7204401769230768e-05
2021-02-24,2.7907086923076923e-05
2021-02-24,2.8609772076923075e-05
2021-02-24,2.931245723076923e-05
2021-02-25,3.0015142384615386e-05
2021-02-25,3.071782753846154e-05
2021-02-25,3.1420512692307697e-05
2021-02-25,3.2123197846153845e-05
2021-02-26,3.2825883e-05
2021-02-26,2.2135033e-05
2021-02-26,1.1444183e-05
2021-02-26,1.2193736e-06
2021-02-27,1.9342462e-05
2021-02-27,1.4916907e-05
2021-02-27,1.2617107e-05
2021-02-27,1.0317307e-05
2021-02-28,1.0443802704545453e-05
2021-02-28,1.0570298409090909e-05
2021-02-28,1.0696794113636364e-05
2021-02-28,1.0823289818181818e-05
2021-03-01,1.0949785522727271e-05
2021-03-01,1.1076281227272727e-05
2021-03-01,1.1202776931818182e-05
2021-03-01,1.1329272636363636e-05
2021-03-02,1.145576834090909e-05
2021-03-02,1.1582264045454545e-05
2021-03-02,1.170875975e-05
2021-03-02,1.1835255454545454e-05
2021-03-03,1.1961751159090908e-05
2021-03-03,1.2088246863636363e-05
2021-03-03,1.2214742568181819e-05
2021-03-03,1.2341238272727272e-05
2021-03-04,1.2467733977272726e-05
2021-03-04,1.2594229681818181e-05
2021-03-04,1.2720725386363637e-05
2021-03-04,1.284722109090909e-05
2021-03-05,1.2973716795454544e-05
2021-03-05,1.31002125e-05
2021-03-05,1.0530405e-05
2021-03-05,3.7373256e-06
2021-03-06,3.989492176e-06
