t,NO2
2021-01-01,
2021-01-02,
2021-01-04,
2021-01-05,
2021-01-06,
2021-01-07,3.4454686e-05
2021-01-08,
2021-01-09,
2021-01-10,
2021-01-11,
2021-01-12,
2021-01-13,
2021-01-14,
2021-01-15,
2021-01-16,
2021-01-17,
2021-01-18,
2021-01-19,
2021-01-20,
2021-01-21,
2021-01-22,
2021-01-23,
2021-01-24,
2021-01-25,
2021-01-26,1.946243e-05
2021-01-27,
2021-01-28,
2021-01-29,
2021-01-31,
2021-02-01,1.5822163e-05
2021-02-02,
2021-02-03,
2021-02-05,
2021-02-06,
2021-02-07,1.7079468e-05
2021-02-08,
2021-02-09,
2021-02-10,
2021-02-11,
2021-02-12,
2021-02-13,
2021-02-14,
2021-02-15,2.4159728e-05
2021-02-16,1.5575899e-05
2021-02-17,1.0674609e-05
2021-02-18,
2021-02-19,
2021-02-21,2.3527402e-07
2021-02-22,3.049697e-05
2021-02-23,
2021-02-24,
2021-02-25,
2021-02-26,3.2825883e-05
2021-02-27,1.9342462e-05
2021-02-28,
2021-03-01,
2021-03-02,
2021-03-03,
2021-03-04,
2021-03-05,4.6389104e-07
2021-03-06,
2021-03-07,
2021-03-08,
2021-03-09,
2021-03-10,
2021-03-11,
2021-03-12,1.004149e-05
2021-03-13,
2021-03-14,
2021-03-15,
2021-03-16,
2021-03-17,
2021-03-18,
2021-03-19,2.023003e-05
2021-03-20,2.4962992e-05
2021-03-21,2.2014925e-05
2021-03-22,2.088984e-05
2021-03-23,1.7601955e-05
2021-03-24,
2021-03-25,-1.1266002e-05
2021-03-26,
2021-03-27,
2021-03-28,1.2714959e-05
2021-03-29,
2021-03-30,1.2172064e-05
2021-03-31,
2021-04-01,
2021-04-02,3.15003e-05
2021-04-03,2.0204467e-05
2021-04-04,
2021-04-05,
2021-04-06,
2021-04-07,
2021-04-08,
2021-04-10,
2021-04-11,1.463263e-05
2021-04-12,1.1263822e-05
2021-04-14,-2.5271395e-06
2021-04-15,1.2908032e-05
2021-04-16,1.9898003e-05
2021-04-17,1.8594058e-06
2021-04-18,1.9735518e-05
2021-04-19,2.1842749e-05
2021-04-20,1.6876626e-05
2021-04-21,3.0796073e-05
2021-04-22,1.8868546e-05
2021-04-23,2.053096e-05
2021-04-24,1.5624237e-05
2021-04-26,-2.5549687e-07
2021-04-27,1.761682e-05
2021-04-28,2.1108019e-05
2021-04-29,
2021-04-30,2.2298162e-05
2021-05-01,-3.1863278e-06
2021-05-02,5.047918e-06
2021-05-03,1.8152634e-05
2021-05-04,
2021-05-05,
2021-05-06,
2021-05-07,
2021-05-08,2.1595117e-05
2021-05-09,2.8498764e-05
2021-05-10,1.6409127e-05
2021-05-11,
2021-05-12,2.0773707e-05
2021-05-13,
2021-05-14,2.659854e-05
2021-05-15,2.0561514e-05
2021-05-16,1.0955229e-05
2021-05-17,1.6759117e-05
2021-05-18,
2021-05-19,
2021-05-20,
2021-05-21,7.4275404e-06
2021-05-22,2.2795175e-05
2021-05-23,
2021-05-24,-6.2547633e-06
2021-05-25,3.233372e-08
2021-05-26,1.4029026e-05
2021-05-27,
2021-05-28,-1.3592216e-06
2021-05-29,2.5493579e-05
2021-05-30,
2021-05-31,3.0795938e-05
2021-06-01,1.2418166e-05
2021-06-02,1.1992097e-05
2021-06-03,6.2739473e-06
2021-06-04,1.2473082e-05
2021-06-05,2.8663302e-05
2021-06-06,4.0936797e-05
2021-06-07,1.6601947e-05
2021-06-08,-1.7146374e-06
2021-06-09,1.6252236e-05
2021-06-10,2.0476431e-05
2021-06-11,1.35660985e-05
2021-06-12,
2021-06-13,5.399137e-06
2021-06-14,
2021-06-15,
2021-06-16,
2021-06-17,1.51308295e-05
2021-06-18,
2021-06-19,
2021-06-20,
2021-06-21,
2021-06-22,1.292069e-05
2021-06-23,1.0459467e-05
2021-06-24,
2021-06-25,3.115467e-05
2021-06-26,3.152887e-05
2021-06-27,1.2693239e-05
2021-06-28,
2021-06-29,1.4238097e-05
2021-06-30,-9.006519e-06
2021-07-01,4.7897418e-05
2021-07-02,
2021-07-03,3.8529706e-06
2021-07-04,3.416551e-05
2021-07-05,2.4149418e-05
2021-07-06,2.6065687e-05
2021-07-07,2.416405e-05
2021-07-08,
2021-07-09,
2021-07-10,1.1994999e-05
2021-07-11,2.2533937e-05
2021-07-12,
2021-07-13,1.7049322e-05
2021-07-14,1.2937821e-05
2021-07-15,1.5000426e-05
2021-07-16,
2021-07-17,
2021-07-18,1.23398495e-05
2021-07-19,1.1586203e-05
2021-07-20,2.2634897e-07
2021-07-21,1.070055e-05
2021-07-22,
2021-07-23,3.0281415e-05
2021-07-24,2.7080681e-05
2021-07-25,8.013834e-06
2021-07-26,1.16099445e-05
2021-07-27,1.1814018e-05
2021-07-28,1.6904974e-05
2021-07-29,8.190797e-06
2021-07-30,3.699531e-05
2021-07-31,4.6753676e-06
2021-08-01,1.0708433e-05
2021-08-02,
2021-08-03,1.8714509e-05
2021-08-04,6.520723e-06
2021-08-05,1.228324e-05
2021-08-06,-3.9450975e-07
2021-08-07,
2021-08-08,1.3872264e-05
2021-08-09,1.5401285e-05
2021-08-10,1.607173e-05
2021-08-11,1.5026226e-05
2021-08-12,8.437958e-06
2021-08-13,-1.8378234e-06
2021-08-14,1.800102e-05
2021-08-15,-4.750074e-06
2021-08-16,6.1310375e-06
2021-08-17,1.3209911e-05
2021-08-18,1.861171e-05
2021-08-19,
2021-08-20,2.5457395e-05
2021-08-21,1.0545619e-05
2021-08-22,9.09683e-06
2021-08-23,1.4741442e-05
2021-08-24,2.0188978e-05
2021-08-25,2.3781931e-05
2021-08-26,1.1184679e-05
2021-08-27,
2021-08-28,1.0647037e-05
2021-08-29,2.3018567e-05
2021-08-30,
2021-08-31,2.6942233e-05
2021-09-01,1.6245232e-05
2021-09-02,2.9677984e-05
2021-09-03,1.5247846e-05
2021-09-04,1.6823513e-05
2021-09-05,
2021-09-06,1.6860213e-05
2021-09-07,1.3869906e-05
2021-09-08,1.288624e-05
2021-09-09,6.318626e-06
2021-09-10,2.7542847e-05
2021-09-11,
2021-09-12,
2021-09-13,
2021-09-14,
2021-09-15,
2021-09-16,
2021-09-17,2.1176627e-05
2021-09-18,7.184733e-06
2021-09-19,2.4991568e-05
2021-09-20,1.8304234e-05
2021-09-21,
2021-09-22,
2021-09-23,
2021-09-24,1.0475839e-05
2021-09-25,3.4621633e-05
2021-09-26,
2021-09-27,7.883875e-06
2021-09-28,1.6795217e-05
2021-09-29,2.3974326e-05
2021-09-30,2.6487483e-05
2021-10-01,1.5910004e-05
2021-10-02,
2021-10-03,
2021-10-04,
2021-10-05,2.828833e-05
2021-10-06,2.9451805e-05
2021-10-07,2.7617514e-05
2021-10-08,1.2961221e-05
2021-10-09,6.002594e-06
2021-10-10,1.8192579e-05
2021-10-11,9.244469e-06
